case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.008,1.6006095338028103e-09,14,0.012160645797848701,0.0314415842294693,0.0005563266458921134,0.001809638342820108,4.815200554730836e-06,0.9996675923431205,99.96675923431205
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,2.5131385861243416e-09,15,0.017122874036431313,0.045468520373106,0.0012293003965169191,0.0030730050057172775,4.985554369341116e-06,0.9994959159202879,99.94959159202878
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,1.2373218005734543e-09,14,0.008923498913645744,0.025298181921243668,0.0015677083283662796,0.005115992855280638,5.456744020193582e-06,0.9997732490664772,99.97732490664772
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,2.595677450756284e-09,17,0.016190674155950546,0.10998792946338654,0.001608323771506548,0.005647457204759121,5.799577138532186e-06,0.999552436774483,99.95524367744831
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,9.53747969489882e-10,14,0.00727019552141428,0.01967448741197586,0.0006083838525228202,0.0019329908536747098,4.815200554730836e-06,0.9998019297517,99.98019297517
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,1.4769769851596948e-09,15,0.009994791820645332,0.024643274024128914,0.0012982910266146064,0.0037591643631458282,4.985554369341116e-06,0.9997037486955829,99.97037486955828
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,8.87354815404251e-07,13,6.414069652557373,11.92509651184082,0.016886457800865173,0.09741558879613876,8.87354815404251e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,7.289155519174528e-07,17,4.560162544250488,9.622040748596191,0.035776179283857346,0.2535898685455322,7.289155519174528e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,4.5904477019576007e-07,12,4.638668537139893,8.450159072875977,0.02194794826209545,0.09795078635215759,4.5904477019576007e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,3.520079872032511e-07,12,2.814393997192383,4.6391754150390625,0.013919542543590069,0.03293214738368988,3.520079872032511e-07,0.0,0.0
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,1.1354955864462113e-09,13,0.009396811947226524,0.02628171443939209,0.0006596442544832826,0.003466647583991289,8.87354815404251e-07,0.9987203590190369,99.87203590190369
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,3.3217977257749e-09,17,0.02019021101295948,0.11956402659416199,0.001635395223274827,0.007181900087743998,7.289155519174528e-07,0.9954428222624189,99.54428222624189
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,1.552799444581865e-09,12,0.015050537884235382,0.033436574041843414,0.0012074453989043832,0.002868563635274768,4.5904477019576007e-07,0.9966173246153753,99.66173246153754
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.009,3.5222047500838016e-09,12,0.02841620147228241,0.08744688332080841,0.0015669068088755012,0.004871377721428871,3.520079872032511e-07,0.9899939635515995,98.99939635515994
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.006,1.9481720681113757e-09,13,0.01614610105752945,0.0468856617808342,0.0005581773002631962,0.002780457027256489,8.87354815404251e-07,0.9978045173877556,99.78045173877555
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.007,5.51093037870487e-09,17,0.033724233508110046,0.19313229620456696,0.0014693135162815452,0.006341645959764719,7.289155519174528e-07,0.9924395489104217,99.24395489104218
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.008,2.5852775475954104e-09,12,0.025016292929649353,0.055742453783750534,0.0011186811607331038,0.002620913088321686,4.5904477019576007e-07,0.9943681363661045,99.43681363661045
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.009,5.817552661824266e-09,12,0.04700164869427681,0.14467014372348785,0.0014497559750452638,0.00447674049064517,3.520079872032511e-07,0.9834732367636159,98.34732367636158
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.006,1.1207058614459697e-09,13,0.009269804693758488,0.025484900921583176,0.0006808446487411857,0.0032098498195409775,8.87354815404251e-07,0.9987370262244698,99.87370262244698
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.007,3.304559292871545e-09,17,0.02006787620484829,0.11950802803039551,0.001599859562702477,0.00734963221475482,7.289155519174528e-07,0.9954664716863583,99.54664716863583
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.008,1.553970396805937e-09,12,0.015059706754982471,0.03319445624947548,0.0011752358404919505,0.0026779358740895987,4.5904477019576007e-07,0.9966147737700111,99.6614773770011
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.009,3.5269493992018397e-09,12,0.02846052497625351,0.08740391582250595,0.0014973307261243463,0.00463144201785326,3.520079872032511e-07,0.9899804847406336,98.99804847406337
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.006,5.814131327497307e-06,16,42.85260772705078,99.16529846191406,0.7904306650161743,5.891362190246582,5.814131327497307e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,baseline_current_split,saved_uv_prefit,0.007,5.888798114028759e-06,17,37.050540924072266,87.4195785522461,1.042373538017273,4.442918300628662,5.888798114028759e-06,0.0,0.0
