case,seed,state,step,Delta,variant,init_strategy,epoch,loss_log10,elastic_energy,optimizer_returned_loss
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,1,-7.117672920227051,7.626533715665573e-08,-7.401943206787109
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,25,-7.402735233306885,3.9560806186500486e-08,-7.4026665687561035
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,50,-7.403365612030029,3.9503433413301536e-08,-7.40335750579834
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,75,-7.403417587280273,3.949868698782666e-08,-7.403427600860596
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,100,-7.403439521789551,3.949670457359389e-08,-7.403441905975342
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,125,-7.403438568115234,3.949675431158539e-08,-7.403446674346924
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,150,-7.403445720672607,3.9496125481264244e-08,-7.4034295082092285
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,175,-7.403451919555664,3.949557125793035e-08,-7.403448581695557
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,200,-7.403452396392822,3.9495468229233666e-08,-7.403446674346924
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,225,-7.403453350067139,3.949539717496009e-08,-7.403453350067139
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,250,-7.403446674346924,3.949601889985388e-08,-7.403445243835449
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,1,-7.123473167419434,7.525351719550599e-08,-7.4019551277160645
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,25,-7.402673244476318,3.9566462106677136e-08,-7.402600288391113
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,50,-7.403344631195068,3.950528082441451e-08,-7.403338432312012
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,75,-7.4034013748168945,3.950020399656751e-08,-7.403395175933838
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,100,-7.403441905975342,3.9496477199918445e-08,-7.4034423828125
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,125,-7.403446674346924,3.949604021613595e-08,-7.403445243835449
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,150,-7.403451919555664,3.949557481064403e-08,-7.403451919555664
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,175,-7.403452396392822,3.949548954551574e-08,-7.403448581695557
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,200,-7.403451919555664,3.949557481064403e-08,-7.403454303741455
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,225,-7.4034552574157715,3.94953119098318e-08,-7.4034552574157715
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,250,-7.40345573425293,3.949521598656247e-08,-7.403452396392822
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,1,-7.3700103759765625,4.26569499722973e-08,-7.404361248016357
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,25,-7.4046220779418945,3.938930603908375e-08,-7.4045939445495605
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,50,-7.4048004150390625,3.937316250812728e-08,-7.4047980308532715
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,75,-7.4048051834106445,3.937265447007121e-08,-7.4048285484313965
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,100,-7.404837608337402,3.936975545570931e-08,-7.4048333168029785
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,125,-7.404841899871826,3.936933623549521e-08,-7.404841899871826
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,150,-7.404843330383301,3.9369208337802775e-08,-7.404843330383301
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,175,-7.404844284057617,3.9369147941670235e-08,-7.404844284057617
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,200,-7.404844284057617,3.936915504709759e-08,-7.404844284057617
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,225,-7.404845237731934,3.936910530910609e-08,-7.404845237731934
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,250,-7.404845237731934,3.9369055571114586e-08,-7.404845237731934
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,1,-7.3700103759765625,4.26569499722973e-08,-7.404361248016357
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,25,-7.4046220779418945,3.938930603908375e-08,-7.4045939445495605
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,50,-7.4048004150390625,3.937316250812728e-08,-7.4047980308532715
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,75,-7.4048051834106445,3.937265447007121e-08,-7.4048285484313965
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,100,-7.404837608337402,3.936975545570931e-08,-7.4048333168029785
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,125,-7.404841899871826,3.936933623549521e-08,-7.404841899871826
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,150,-7.404843330383301,3.9369208337802775e-08,-7.404843330383301
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,175,-7.404844284057617,3.9369147941670235e-08,-7.404844284057617
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,200,-7.404844284057617,3.936915504709759e-08,-7.404844284057617
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,225,-7.404845237731934,3.936910530910609e-08,-7.404845237731934
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,250,-7.404845237731934,3.9369055571114586e-08,-7.404845237731934
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,1,-7.3700103759765625,4.26569499722973e-08,-7.404361248016357
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,25,-7.4046220779418945,3.938930603908375e-08,-7.4045939445495605
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,50,-7.4048004150390625,3.937316250812728e-08,-7.4047980308532715
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,75,-7.4048051834106445,3.937265447007121e-08,-7.4048285484313965
