case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,0.007,17,0.928919792175293,0.01017459761351347,0.025131821137344797,0.17064869435770902,0.0015702801916186804,0.007737717013011736,3.976733902301878e-09,0.9993152315403231,99.9315231540323
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,0.008,14,0.9429410099983215,0.008099581114947796,0.014093584884570864,0.03825214808657207,0.0007251631336236107,0.002676484280362143,1.8762020146518837e-09,0.9996117274969194,99.96117274969194
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,0.009,15,0.9315098524093628,0.009348220191895962,0.018773236106011747,0.0445752412250533,0.0013613884052726152,0.004584934581586597,2.771997418249311e-09,0.999445836028492,99.9445836028492
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,void_crack_band,0.006,14,0.925148606300354,0.011872830800712109,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,void_crack_band,0.007,17,0.928919792175293,0.01017459761351347,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,void_crack_band,0.008,14,0.9429410099983215,0.008099581114947796,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,void_crack_band,0.009,15,0.9315098524093628,0.009348220191895962,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,current_split,0.006,15,0.933220624923706,0.00871012732386589,7.322233511490809,15.247766417984105,0.11286908826249811,0.7795250378807331,9.463509816035343e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,current_split,0.007,14,0.9450281858444214,0.005629470106214285,5.655254194905946,12.224726209460574,0.1313534819011255,0.6218937530057888,7.392559761137804e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,current_split,0.008,11,0.9505189657211304,0.0033426389563828707,4.767860925865674,6.607514118129659,0.01922195161705815,0.08666402954939786,4.687600988771438e-07,0.0,0.0
