group,case,seed,step,Delta,strain,metric,reaction_N,alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,22,7.1e-05,0.0071,bottom_sigma_integral_outward_N,-1.1186635239804779,True
D0040,D0040_seed7_default_unitbox,7,23,7.3e-05,0.0073,bottom_sigma_integral_outward_N,-1.1296297038650118,True
D0040,D0040_seed7_default_unitbox,7,24,7.5e-05,0.007499999999999999,bottom_sigma_integral_outward_N,-1.1343289359195667,True
D0040,D0040_seed7_default_unitbox,7,25,7.7e-05,0.0077,bottom_sigma_integral_outward_N,-1.079989076893743,True
D0040,D0040_seed7_default_unitbox,7,26,8e-05,0.008,bottom_sigma_integral_outward_N,-1.1164007293888145,True
D0040,D0040_seed7_default_unitbox,7,27,8.3e-05,0.0083,bottom_sigma_integral_outward_N,-1.1032223404771768,True
D0040,D0040_seed7_default_unitbox,7,28,8.6e-05,0.0086,bottom_sigma_integral_outward_N,-1.1124112490004063,True
D0040,D0040_seed7_default_unitbox,7,29,8.9e-05,0.0089,bottom_sigma_integral_outward_N,-1.1066266144469334,True
D0040,D0040_seed7_default_unitbox,7,30,9.2e-05,0.0092,bottom_sigma_integral_outward_N,-1.084454351954908,True
D0040,D0040_seed7_default_unitbox,7,31,9.5e-05,0.0095,bottom_sigma_integral_outward_N,-1.1094431558707576,True
D0040,D0040_seed7_default_unitbox,7,32,9.8e-05,0.0098,bottom_sigma_integral_outward_N,-1.09037868056384,True
D0040,D0040_seed7_default_unitbox,7,33,0.0001,0.01,bottom_sigma_integral_outward_N,-1.1025055167602835,True
D0040,D0040_seed7_default_unitbox,7,34,0.000102,0.010199999999999999,bottom_sigma_integral_outward_N,-1.1024143488901892,True
D0040,D0040_seed7_default_unitbox,7,35,0.000104,0.0104,bottom_sigma_integral_outward_N,-1.0792386247060484,True
D0040,D0040_seed7_default_unitbox,7,36,0.000106,0.0106,bottom_sigma_integral_outward_N,-1.0966908659977628,True
D0040,D0040_seed7_default_unitbox,7,37,0.000108,0.010799999999999999,bottom_sigma_integral_outward_N,-1.0519290538070525,True
D0040,D0040_seed7_default_unitbox,7,38,0.00011,0.011,bottom_sigma_integral_outward_N,-1.0656283414610135,True
D0040,D0040_seed7_default_unitbox,7,39,0.000112,0.0112,bottom_sigma_integral_outward_N,-1.0827282102185165,True
D0040,D0040_seed7_default_unitbox,7,40,0.000115,0.0115,bottom_sigma_integral_outward_N,-1.057911540333194,True
D0040,D0040_seed7_default_unitbox,7,41,0.000118,0.0118,bottom_sigma_integral_outward_N,-1.0736970007654993,True
D0040,D0040_seed7_default_unitbox,7,42,0.00012,0.012,bottom_sigma_integral_outward_N,-1.0640470247623617,True
D0040,D0040_seed7_default_unitbox,7,43,0.000125,0.0125,bottom_sigma_integral_outward_N,-1.075449008033441,True
D0040,D0040_seed7_default_unitbox,7,44,0.00013,0.013,bottom_sigma_integral_outward_N,-1.0756008884159332,True
D0040,D0040_seed7_default_unitbox,7,45,0.000135,0.0135,bottom_sigma_integral_outward_N,-1.0877140672276604,True
D0040,D0040_seed7_default_unitbox,7,46,0.00014,0.013999999999999999,bottom_sigma_integral_outward_N,-1.0747285337088304,True
D0040,D0040_seed7_default_unitbox,7,47,0.000145,0.014499999999999999,bottom_sigma_integral_outward_N,-1.08152952172084,True
D0040,D0040_seed7_default_unitbox,7,48,0.00015,0.014999999999999998,bottom_sigma_integral_outward_N,-1.0821607376935494,True
D0040,D0040_seed7_default_unitbox,7,49,0.000155,0.0155,bottom_sigma_integral_outward_N,-1.0911400665120883,True
D0040,D0040_seed7_default_unitbox,7,50,0.00016,0.016,bottom_sigma_integral_outward_N,-1.1049948059036692,True
D0040,D0040_seed7_default_unitbox,7,51,0.00017,0.017,bottom_sigma_integral_outward_N,-1.0638175720848053,True
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,bottom_sigma_integral_outward_N,-1.1274617303975423,True
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,bottom_sigma_integral_outward_N,-1.054771956181529,True
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,bottom_sigma_integral_outward_N,-1.1048648442171198,True
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,internal_cut_force_above_crack_N,0.04414107994208334,False
