case,seed,variant,subdomain,physical_boundary_fx_N,physical_boundary_fy_N,crack_band_interface_fx_N,crack_band_interface_fy_N,transition_interface_fx_N,transition_interface_fy_N,net_force_residual_x_N,net_force_residual_y_N,net_force_residual_magnitude_N,net_moment_residual_Nmm,subdomain_centroid_x,subdomain_centroid_y,physical_boundary_force_magnitude_sum_N,crack_band_interface_force_magnitude_sum_N,transition_interface_force_magnitude_sum_N,mechanically_separated_by_low_crack_interface,bc_treatment
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,whole,0.00020412891880364383,-0.0004277443929274049,,,,,0.00020412891880364383,-0.0004277443929274049,0.000473955568774942,,,,,,,,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,upper,0.001701800187316802,0.0156863162490314,-0.00022268068749660668,-0.008407606040762306,0.00020893838479690477,-0.005110248651582019,0.0016880578846171,0.0021684615566870727,0.0027480474786014306,-1.0473749875052026e-06,0.004990206677216139,0.006448453354327147,0.021521837430579213,0.010398347760743632,0.02305913107680165,False,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,lower,0.001688298444572622,-0.01591624974205975,6.729781799424649e-05,0.008665501791008506,0.0003064315008118552,0.004440872582289805,0.0020620277633787254,-0.002809875368761443,0.0034853060245718633,8.328191107917596e-07,0.005093929518697391,0.00361565995958494,0.021519587174898186,0.010189762227820946,0.019991485550861672,False,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,whole,0.0033900986318894247,-0.0002299334930283498,,,,,0.0033900986318894247,-0.0002299334930283498,0.00339788730612932,,,,,,,,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,upper,4.7869349265359706e-14,-2.7110997416190653e-13,-8.690050688373677e-16,1.317361897379093e-15,0.0,0.0,4.700034419652234e-14,-2.697926122645274e-13,2.738559584655941e-13,1.210903819859459e-15,0.004990206677216139,0.006448453354327147,4.894286002445916e-13,3.340967737409483e-14,0.0,False,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,whole,4.7869349265359706e-14,-2.7110997416190643e-13,,,,,4.7869349265359706e-14,-2.7110997416190643e-13,2.753036372610405e-13,,,,,,,,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,upper,8.639766857881977e-14,3.4210039153091065e-13,-3.586058390650823e-15,7.290505490915658e-16,0.0,0.0,8.281161018816893e-14,3.428294420800022e-13,3.526893663535135e-13,-9.953972026213618e-16,0.004990206677216139,0.006448453354327147,6.125225055314199e-13,5.688682558435787e-14,0.0,False,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,whole,8.639766857881977e-14,3.4210039153091075e-13,,,,,8.639766857881977e-14,3.4210039153091075e-13,3.528416571515586e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,upper,4.7869349265359706e-14,-2.7110997416190653e-13,-8.690050688373677e-16,1.317361897379093e-15,0.0,0.0,4.700034419652234e-14,-2.697926122645274e-13,2.738559584655941e-13,1.210903819859459e-15,0.004990206677216139,0.006448453354327147,4.894286002445916e-13,3.340967737409483e-14,0.0,False,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,whole,4.7869349265359706e-14,-2.7110997416190643e-13,,,,,4.7869349265359706e-14,-2.7110997416190643e-13,2.753036372610405e-13,,,,,,,,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,upper,8.639766857881977e-14,3.4210039153091065e-13,-3.586058390650823e-15,7.290505490915658e-16,0.0,0.0,8.281161018816893e-14,3.428294420800022e-13,3.526893663535135e-13,-9.953972026213618e-16,0.004990206677216139,0.006448453354327147,6.125225055314199e-13,5.688682558435787e-14,0.0,False,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,whole,8.639766857881977e-14,3.4210039153091075e-13,,,,,8.639766857881977e-14,3.4210039153091075e-13,3.528416571515586e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,upper,3.863665931776635e-14,-1.9224542102439021e-13,-4.336375962403484e-15,-1.9551746100047996e-15,-1.6016470806143905e-16,-4.774511602975161e-16,3.41401186473014e-14,-1.9467804679469236e-13,1.976489048921047e-13,1.388422752795816e-15,0.004990206677216139,0.006448453354327147,4.970381995024007e-13,3.10890074754164e-14,4.0393369224721414e-15,False,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,whole,3.863665931776635e-14,-1.9224542102439027e-13,,,,,3.863665931776635e-14,-1.9224542102439027e-13,1.9608950341127956e-13,,,,,,,,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,upper,2.692735960417543e-13,-4.072145017472522e-13,-1.1696624214826577e-15,-3.355476247366583e-15,1.421081957834468e-16,-2.9147531974629263e-16,2.6824604181605484e-13,-4.108614533143652e-13,4.906761383739512e-13,1.234432598822852e-15,0.004990206677216139,0.006448453354327147,6.769214331457648e-13,2.9089283509835744e-14,4.008278717661318e-15,False,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005093929518697391,0.00361565995958494,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,whole,2.6927359604175415e-13,-4.0721450174725235e-13,,,,,2.6927359604175415e-13,-4.0721450174725235e-13,4.881925029724655e-13,,,,,,,,minimal_rigid_body_bc
